,Event,Dates,Location,Description
2136,Mingle & Jingle Christmas Bar,2022-11-30,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2137,PAW Patrol: Adventure Play,2022-11-30,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2138,Igloos on the Roof,2022-11-30,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2139,Wednesday Night Laughs,2022-11-30,The Original Hot Dog Factory,Free Weekly Comedy Show 7P – 9P Hosted by More Than Cultr’s Own Kamal The…
2140,Claude Monet Immersive Exhibit,2022-11-30,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2141,Skate the Sky,2022-11-30,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2142,Holiday Catering with Grecian Gyro,2022-11-30,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2143,FIFA World Cup 2022™ Watch Parties,2022-11-30,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2144,Stephen Burks Shelter in Place,2022-11-30,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2145,Gurl Mobb Museum- Selfie museum in Atlanta,2022-11-30,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2146,Illuminights at the Zoo: Chinese Lantern Festival,2022-11-30,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2147,Candlelight: A Tribute to Beyonce,2022-11-30,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
2148,Finely Crafted: Cocktails and Comedy,2022-11-30,Atlanta,
2149,Cirque Du Soleil – Kurios,2022-11-30,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2150,Stem Wine Bar’s November Tastings: Amazing America,2022-11-30,Stem Wine Bar,"Join Stem Wine Bar for their November wine tastings every Tuesday, Wednesday, and Thursday from…"
2151,Stranger Things: The Experience,2022-11-30,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2152,The Rink at Park Tavern,2022-11-30,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2153,Holiday in the Park,2022-11-30,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2154,Igloos on The Roof,2022-11-30,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2155,The Colors of Peace Exhibit,2022-11-30,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2156,Mingle & Jingle Christmas Bar,2022-12-01,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2157,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-01,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2158,World of Illumination,2022-12-01,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2159,Starry Nights on The Spur,2022-12-01,The Works,Spread some holiday cheer at Starry Nights on The Spur! Enjoy a vibrant lineup of…
2160,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-01,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2161,"Garden Lights, Holiday Nights",2022-12-01,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2162,Stranger Things: The Experience,2022-12-01,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2163,Winter Wonderland at Fernbank,2022-12-01,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2164,Stephen Burks Shelter in Place,2022-12-01,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2165,FIFA World Cup 2022™ Watch Parties,2022-12-01,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2166,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-01,Chick-fil-A College Football Hall of Fame,
2167,Harry Potter: The Exhibition,2022-12-01,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2168,Holiday Tree Market in the Courtyard,2022-12-01,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2169,Igloos on The Roof,2022-12-01,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2170,Holiday Catering with Grecian Gyro,2022-12-01,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2171,Cirque Du Soleil – Kurios,2022-12-01,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2172,WildWoods AGLOW,2022-12-01,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2173,PAW Patrol: Adventure Play,2022-12-01,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2174,Holiday in the Park,2022-12-01,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2175,“In Hope for a Better Future” Art Exhibition,2022-12-01,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2176,The Rink at Park Tavern,2022-12-01,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2177,Spruill Gallery Holiday Artists Market,2022-12-01,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2178,A Christmas Carol,2022-12-01,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2179,Shine Light Show at Coolray Field,2022-12-01,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2180,Igloos on the Roof,2022-12-01,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2181,Skate the Station,2022-12-01,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2182,Waking Wonderland: An Immersive Experience,2022-12-01,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2183,Skate the Sky,2022-12-01,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2184,Night Market: Holiday Edition,2022-12-01,The Home Depot Backyard at Mercedes Benz Stadium,"Celebrate the holidays and experience a night with under the stars with Atlanta’s best chefs,…"
2185,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-01,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2186,Celebration at the Station,2022-12-01,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2187,Claude Monet Immersive Exhibit,2022-12-01,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2188,Candlelight: A Tribute to Beyonce,2022-12-01,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
2189,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-01,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2190,The Veranda Jewel Box,2022-12-01,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2191,Deana Lawson Exhibit,2022-12-01,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2192,Rudolph the Red-Nosed Reindeer,2022-12-01,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2193,Mattie Lou O’Kelley: The Long Journey to Success,2022-12-01,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
2194,"$5 Pints, $10 Crowlers ALL DAY",2022-12-01,Biggerstaff Brewing Company,3 beer options and they change every week! Special runs ALL DAY! $5 Select Pints…
2195,Annual Vinings Jubilee Christmas Tree Lighting,2022-12-01,Vinings Jubilee,Welcome in the 2022 Christmas season at the beloved annual Vinings Jubilee Christmas Tree Lighting!…
2196,Brook Run Sweet Shoppe Opening Night,2022-12-01,Brook Run Park,Join us for opening night of this year’s Holiday Lights display! Brook Run will come…
2197,Holiday Movie Night in the Courtyard,2022-12-01,Shops Around Lenox,"Join us on Thursday, December 1st at 6:30PM for a Holiday Movie Night in the…"
2198,Reindeer Road by World of Illumination,2022-12-01,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2199,Trampled By Turtles: Alpenglow Tour,2022-12-01,Buckhead Theatre,Indie outfit Trampled By Turtles is coming to Atlanta for their brand new Alpenglow Tour!…
2200,The Colors of Peace Exhibit,2022-12-01,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2201,Holiday Toy Drive & Happy Hour,2022-12-01,Atlanta Ronald McDonald House,Celebrate the holidays with Red Shoe Society — Atlanta for a toy drive to benefit…
2202,Rod Wave – Beautiful Mind Tour,2022-12-01,State Farm Arena,Platinum-selling rapper Rod Wave has announced a late 2022 tour across North America to support…
2203,Midtown Atlanta Food and Cocktail Tour,2022-12-01,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
2204,South City Kitchen x ASW Bourbon Launch Party,2022-12-01,South City Kitchen Buckhead,South City Kitchen celebrates its own custom bourbon barrel in partnership with American Spirit Works…
2205,Madrigal Singers in Concert,2022-12-01,Morningside Presbyterian Church,Tis the season to be jolly with celebrations and music! Capitol City Opera Company’s Madrigal…
2206,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-02,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2207,Aldabra Tortoise Wild Encounter,2022-12-02,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
2208,WildWoods AGLOW,2022-12-02,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2209,Cirque Du Soleil – Kurios,2022-12-02,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2210,Skate the Sky,2022-12-02,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2211,Giant Panda Wild Encounter,2022-12-02,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2212,Holiday Catering with Grecian Gyro,2022-12-02,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2213,Igloos on the Roof,2022-12-02,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2214,Midtown Atlanta Food and Cocktail Tour,2022-12-02,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
2215,PAW Patrol: Adventure Play,2022-12-02,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2216,Spruill Gallery Holiday Artists Market,2022-12-02,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2217,“In Hope for a Better Future” Art Exhibition,2022-12-02,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2218,Elephant Wild Encounter,2022-12-02,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2219,Rudolph the Red-Nosed Reindeer,2022-12-02,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2220,Shine Light Show at Coolray Field,2022-12-02,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2221,Reindeer Road by World of Illumination,2022-12-02,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2222,The Colors of Peace Exhibit,2022-12-02,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2223,The Veranda Jewel Box,2022-12-02,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2224,Deana Lawson Exhibit,2022-12-02,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2225,A Christmas Carol,2022-12-02,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2226,Holiday in the Park,2022-12-02,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2227,The Rink at Park Tavern,2022-12-02,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2228,Aunt Betty (80s Hair Rock),2022-12-02,37 Main Buford,
2229,Igloos on The Roof,2022-12-02,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2230,Rodgers & Hammerstein’s Cinderella,2022-12-02,The Legacy Theatre,The timeless enchantment of the magical fairy tale is reborn with the Rodgers & Hammerstein…
2231,A Day To Remember – Reassembled: Acoustic Tour,2022-12-02,Coca-Cola Roxy,Road warriors A Day To Remember have announced a sizable U.S. tour later in 2022…
2232,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-02,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2233,Winter Wonderland at Fernbank,2022-12-02,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2234,A Haunted Christmas Carol,2022-12-02,Containment Haunted House,Take a trip down the darker side of Christmas as we take you through the…
2235,Holiday Tree Market in the Courtyard,2022-12-02,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2236,Atlanta Hawks vs. Denver Nuggets,2022-12-02,State Farm Arena,Come cheer on the Hawks!
2237,Holiday Sequel: A New Improv Comedy,2022-12-02,Village Theatre,Do you have a favorite holiday movie? Ever wish you could pitch the sequel? Well…
2238,North Metro’s TSO Experience -Tribute,2022-12-02,37 Main Avondale Estates,North Metro’s TSO EXPERIENCE is an authentic tribute to the music of The Trans-Siberian Orchestra….
2239,Party With Impact- Comedy show with Sam Jay,2022-12-02,Variety Playhouse,"Join us for a night of comedy with Sam Jay to benefit HIV services, prevention…"
2240,The Private Premiere of “Big Girl Love” a TV Pilot,2022-12-02,Plywood Place,"You are invited to the Atlanta private screening of “Big Girl Love,” a television pilot…"
2241,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-02,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2242,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-02,Chick-fil-A College Football Hall of Fame,
2243,Candlelight: A Tribute to Beyonce,2022-12-02,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
2244,World of Illumination,2022-12-02,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2245,Mattie Lou O’Kelley: The Long Journey to Success,2022-12-02,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
2246,Harry Potter: The Exhibition,2022-12-02,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2247,Waking Wonderland: An Immersive Experience,2022-12-02,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2248,Celebration at the Station,2022-12-02,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2249,FIFA World Cup 2022™ Watch Parties,2022-12-02,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2250,Holiday Lights at Brook Run Park,2022-12-02,Brook Run Park,
2251,"Garden Lights, Holiday Nights",2022-12-02,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2252,Stranger Things: The Experience,2022-12-02,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2253,Stephen Burks Shelter in Place,2022-12-02,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2254,Claude Monet Immersive Exhibit,2022-12-02,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2255,Disney On Ice: Frozen & Encanto,2022-12-02,State Farm Arena,"For the first time, Disney On Ice invites families to step inside the magical adventures…"
2256,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-02,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2257,Skate the Station,2022-12-02,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2258,Mingle & Jingle Christmas Bar,2022-12-02,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2259,3hr Salsa Class Atlanta Beginner and Beyond Basics,2022-12-03,Ballroom Impact Atlanta,Salsa ATL & Dancing4Fun Presents.. 3hr Salsa Boot Camp in Atlanta @ Ballroom Impact Atlanta…
2260,Aldabra Tortoise Wild Encounter,2022-12-03,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
2261,PAW Patrol: Adventure Play,2022-12-03,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2262,Holiday Tree Market in the Courtyard,2022-12-03,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2263,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-03,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2264,The Colors of Peace Exhibit,2022-12-03,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2265,Deana Lawson Exhibit,2022-12-03,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2266,Reindeer Road by World of Illumination,2022-12-03,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2267,Mattie Lou O’Kelley: The Long Journey to Success,2022-12-03,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
2268,Rodgers & Hammerstein’s Cinderella,2022-12-03,The Legacy Theatre,The timeless enchantment of the magical fairy tale is reborn with the Rodgers & Hammerstein…
2269,Winter Wonderland at Fernbank,2022-12-03,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2270,Igloos on The Roof,2022-12-03,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2271,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-03,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2272,World of Illumination,2022-12-03,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2273,Stranger Things: The Experience,2022-12-03,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2274,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-03,Chick-fil-A College Football Hall of Fame,
2275,FIFA World Cup 2022™ Watch Parties,2022-12-03,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2276,Giant Panda Wild Encounter,2022-12-03,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2277,WildWoods AGLOW,2022-12-03,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2278,Spruill Gallery Holiday Artists Market,2022-12-03,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2279,A Christmas Carol,2022-12-03,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2280,2022 SEC Football Championship,2022-12-03,Mercedes-Benz Stadium,The 2022 SEC Championship Game is on course to be another play-in game for the…
2281,Elephant Wild Encounter,2022-12-03,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2282,Igloos on the Roof,2022-12-03,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2283,Skate the Station,2022-12-03,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2284,Hops & Flow Beer Yoga at Eventide Brewing,2022-12-03,Eventide Brewing,Roll out your mat and see what’s on tap when Hops & Flow Yoga returns…
2285,Holiday Lights at Brook Run Park,2022-12-03,Brook Run Park,
2286,Cirque Du Soleil – Kurios,2022-12-03,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2287,Nature Holiday Market,2022-12-03,Chattahoochee Nature Center,"Shop local this holiday season! Explore local artisans who have unique, handmade, and/or eco-friendly gifts…"
2288,The Rink at Park Tavern,2022-12-03,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2289,A Festival of Nine Lessons and Carols,2022-12-03,Emory University – Glenn Memorial Auditorium,"Heralding the beginning of the Christmas season, this candlelit choral concert at Emory has been…"
2290,A Haunted Christmas Carol,2022-12-03,Containment Haunted House,Take a trip down the darker side of Christmas as we take you through the…
2291,Fireside Roasting & Toasting Pods on the Yard,2022-12-03,Ponce City Market,Get warm and cozy with your nearest and dearest outside on The Yard this holiday…
2292,The Elves & the Shoemaker,2022-12-03,The Legacy Theatre,Our most popular Children’s Series show returns! Come and watch Holly & Ivy save the…
2293,Tambor Holiday Party,2022-12-03,Paradise Atlanta,
2294,Annual Ugly Sweater Crawl: Savannah,2022-12-03,Savannah Bars,"Join us for the Ugly Sweater Christmas Crawl! Get that Goodwill sweater, find those tacky…"
2295,Slow Flow Yoga with Jess Pfeffer at Lake Claire,2022-12-03,Lake Claire Community Land Trust,J﻿oin us for a morning slow flow yoga session led by Jess Pfeffer of Real…
2296,Selfie Saturdays with Santa,2022-12-03,Ponce City Market,Dash over to The Yard at Ponce City Market for a selfie with the jolly…
2297,Cookies with Santa,2022-12-03,Zoo Atlanta,EVENT DATES: December 3 & 4 Be here when Santa makes his first stop –…
2298,Drive Thru Food Drive by RTY Global,2022-12-03,Restoring the Years Global Ministries,Restoring the Years Global Ministries (RTY Global) would like to invite you to their first…
2299,Holiday Catering with Grecian Gyro,2022-12-03,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2300,HOLIDAY ORNAMENT WORKSHOP,2022-12-03,Marietta/Cobb Museum of Art,"Join us for a fun afternoon of playing with clay! We’ll use cookie cutters, texture…"
2301,Holiday Bazaar at The Inn at Serenbe Pavilion,2022-12-03,The Inn at Serenbe,Serenbe is hosting its annual Holiday Bazaar at The Inn at Serenbe Pavilion on December…
2302,Harry Potter: The Exhibition,2022-12-03,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2303,Holiday in the Park,2022-12-03,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2304,Landscape Painting Demo and Acrylic Paint Session,2022-12-03,Marietta/Cobb Museum of Art,"Join us Saturday evening, December 3, 6:00 – 9:00 pm as we enjoy a glass…"
2305,Mingle & Jingle Christmas Bar,2022-12-03,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2306,"Garden Lights, Holiday Nights",2022-12-03,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2307,Phil Rosenthal Live,2022-12-03,Buckhead Theatre,"Phil Rosenthal, creator, writer and producer of Everybody Loves Raymond, and Netflix’s Somebody Feed Phil…"
2308,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-03,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2309,Misfit DIY Wrapping Co.,2022-12-03,Ponce City Market,"Come one, come all and stop by Misfit DIY Wrapping Co. to jazz up gifts…"
2310,Waking Wonderland: An Immersive Experience,2022-12-03,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2311,Shine Light Show at Coolray Field,2022-12-03,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2312,“In Hope for a Better Future” Art Exhibition,2022-12-03,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2313,Midtown Atlanta Food and Cocktail Tour,2022-12-03,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
2314,Atlanta Brewery Tour,2022-12-03,Iron Hill Brewery – Buckhead,Tour by Southern Culinary Tours! Join us as we visit three of Atlanta’s best breweries….
2315,Stephen Burks Shelter in Place,2022-12-03,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2316,Electric Avenue The 80s MTV Experience,2022-12-03,Park Tavern,Doors at 7 pm & Music at 8 pm General Admission $20 Online & $25…
2317,The Veranda Jewel Box,2022-12-03,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2318,Tree Tour: Virginia Highland Neighborhood,2022-12-03,Virginia Highland Neighborhood Arboretum,Touring a Neighborhood Arboretum is a delightful way to learn more about the special trees…
2319,Frankly Scarlet (Grateful Dead Tribute),2022-12-03,37 Main Buford,
2320,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-03,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2321,Holiday Shop & Strolls,2022-12-03,Buckhead Village,Buckhead Village’s Shop & Stroll series will invite guests to enjoy an open-air dining and…
2322,Skate the Sky,2022-12-03,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2323,Claude Monet Immersive Exhibit,2022-12-03,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2324,Home for the Holidays Tours at The Wren’s Nest,2022-12-03,The Wren’s Nest,Take a festive step back in time at Atlanta’s oldest house museum. For three Saturdays…
2325,Rudolph the Red-Nosed Reindeer,2022-12-03,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2326,Celebration at the Station,2022-12-03,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2327,Mattie Lou O’Kelley: The Long Journey to Success,2022-12-04,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
