,Event,Dates,Location,Description
2440,Igloos on the Roof,2022-12-02,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2441,Stephen Burks Shelter in Place,2022-12-02,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2442,Atlanta Hawks vs. Denver Nuggets,2022-12-02,State Farm Arena,Come cheer on the Hawks!
2443,Giant Panda Wild Encounter,2022-12-02,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2444,“In Hope for a Better Future” Art Exhibition,2022-12-02,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2445,A Haunted Christmas Carol,2022-12-02,Containment Haunted House,Take a trip down the darker side of Christmas as we take you through the…
2446,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-02,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2447,Skate the Station,2022-12-02,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2448,Elephant Wild Encounter,2022-12-02,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2449,Skate the Sky,2022-12-02,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2450,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-02,Chick-fil-A College Football Hall of Fame,
2451,Shine Light Show at Coolray Field,2022-12-02,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2452,Deana Lawson Exhibit,2022-12-02,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2453,WildWoods AGLOW,2022-12-02,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2454,Holiday Lights at Brook Run Park,2022-12-02,Brook Run Park,
2455,Midtown Atlanta Food and Cocktail Tour,2022-12-02,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
2456,The Colors of Peace Exhibit,2022-12-02,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2457,Claude Monet Immersive Exhibit,2022-12-02,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2458,Reindeer Road by World of Illumination,2022-12-02,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2459,Winter Wonderland at Fernbank,2022-12-02,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2460,Aunt Betty (80s Hair Rock),2022-12-02,37 Main Buford,
2461,Spruill Gallery Holiday Artists Market,2022-12-02,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2462,Waking Wonderland: An Immersive Experience,2022-12-02,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2463,Holiday Tree Market in the Courtyard,2022-12-02,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2464,Mattie Lou O’Kelley: The Long Journey to Success,2022-12-02,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
2465,Mingle & Jingle Christmas Bar,2022-12-02,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2466,FIFA World Cup 2022™ Watch Parties,2022-12-02,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2467,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-02,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2468,Celebration at the Station,2022-12-02,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2469,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-02,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2470,The Rink at Park Tavern,2022-12-02,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2471,PAW Patrol: Adventure Play,2022-12-02,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2472,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-02,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2473,Cirque Du Soleil – Kurios,2022-12-02,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2474,Harry Potter: The Exhibition,2022-12-02,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2475,Rodgers & Hammerstein’s Cinderella,2022-12-02,The Legacy Theatre,The timeless enchantment of the magical fairy tale is reborn with the Rodgers & Hammerstein…
2476,The Private Premiere of “Big Girl Love” a TV Pilot,2022-12-02,Plywood Place,"You are invited to the Atlanta private screening of “Big Girl Love,” a television pilot…"
2477,Party With Impact- Comedy show with Sam Jay,2022-12-02,Variety Playhouse,"Join us for a night of comedy with Sam Jay to benefit HIV services, prevention…"
2478,North Metro’s TSO Experience -Tribute,2022-12-02,37 Main Avondale Estates,North Metro’s TSO EXPERIENCE is an authentic tribute to the music of The Trans-Siberian Orchestra….
2479,Holiday Sequel: A New Improv Comedy,2022-12-02,Village Theatre,Do you have a favorite holiday movie? Ever wish you could pitch the sequel? Well…
2480,Stranger Things: The Experience,2022-12-02,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2481,Holiday in the Park,2022-12-02,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2482,A Christmas Carol,2022-12-02,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2483,Holiday Catering with Grecian Gyro,2022-12-02,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2484,Igloos on The Roof,2022-12-02,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2485,The Veranda Jewel Box,2022-12-02,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2486,Disney On Ice: Frozen & Encanto,2022-12-02,State Farm Arena,"For the first time, Disney On Ice invites families to step inside the magical adventures…"
2487,Rudolph the Red-Nosed Reindeer,2022-12-02,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2488,Candlelight: A Tribute to Beyonce,2022-12-02,The Wimbish House,"Candlelight concerts bring the magic of a live, multi-sensory musical experience to awe-inspiring locations like…"
2489,World of Illumination,2022-12-02,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2490,Aldabra Tortoise Wild Encounter,2022-12-03,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
2491,Atlanta Brewery Tour,2022-12-03,Iron Hill Brewery – Buckhead,Tour by Southern Culinary Tours! Join us as we visit three of Atlanta’s best breweries….
2492,Waking Wonderland: An Immersive Experience,2022-12-03,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2493,Igloos on the Roof,2022-12-03,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2494,The Rink at Park Tavern,2022-12-03,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2495,The Veranda Jewel Box,2022-12-03,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2496,A Christmas Carol,2022-12-03,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2497,2022 SEC Football Championship,2022-12-03,Mercedes-Benz Stadium,The 2022 SEC Championship Game is on course to be another play-in game for the…
2498,Nature Holiday Market,2022-12-03,Chattahoochee Nature Center,"Shop local this holiday season! Explore local artisans who have unique, handmade, and/or eco-friendly gifts…"
2499,Selfie Saturdays with Santa,2022-12-03,Ponce City Market,Dash over to The Yard at Ponce City Market for a selfie with the jolly…
2500,Elephant Wild Encounter,2022-12-03,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2501,Igloos on The Roof,2022-12-03,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2502,Holiday Catering with Grecian Gyro,2022-12-03,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2503,Rodgers & Hammerstein’s Cinderella,2022-12-03,The Legacy Theatre,The timeless enchantment of the magical fairy tale is reborn with the Rodgers & Hammerstein…
2504,Harry Potter: The Exhibition,2022-12-03,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2505,The Elves & the Shoemaker,2022-12-03,The Legacy Theatre,Our most popular Children’s Series show returns! Come and watch Holly & Ivy save the…
2506,Stephen Burks Shelter in Place,2022-12-03,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2507,Deana Lawson Exhibit,2022-12-03,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2508,Mingle & Jingle Christmas Bar,2022-12-03,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2509,Giant Panda Wild Encounter,2022-12-03,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2510,Holiday Tree Market in the Courtyard,2022-12-03,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2511,Tambor Holiday Party,2022-12-03,Paradise Atlanta,
2512,WildWoods AGLOW,2022-12-03,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2513,World of Illumination,2022-12-03,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2514,FIFA World Cup 2022™ Watch Parties,2022-12-03,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2515,Slow Flow Yoga with Jess Pfeffer at Lake Claire,2022-12-03,Lake Claire Community Land Trust,J﻿oin us for a morning slow flow yoga session led by Jess Pfeffer of Real…
2516,Claude Monet Immersive Exhibit,2022-12-03,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2517,Phil Rosenthal Live,2022-12-03,Buckhead Theatre,"Phil Rosenthal, creator, writer and producer of Everybody Loves Raymond, and Netflix’s Somebody Feed Phil…"
2518,Midtown Atlanta Food and Cocktail Tour,2022-12-03,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
2519,Home for the Holidays Tours at The Wren’s Nest,2022-12-03,The Wren’s Nest,Take a festive step back in time at Atlanta’s oldest house museum. For three Saturdays…
2520,Winter Wonderland at Fernbank,2022-12-03,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2521,Electric Avenue The 80s MTV Experience,2022-12-03,Park Tavern,Doors at 7 pm & Music at 8 pm General Admission $20 Online & $25…
2522,Holiday Shop & Strolls,2022-12-03,Buckhead Village,Buckhead Village’s Shop & Stroll series will invite guests to enjoy an open-air dining and…
2523,Hops & Flow Beer Yoga at Eventide Brewing,2022-12-03,Eventide Brewing,Roll out your mat and see what’s on tap when Hops & Flow Yoga returns…
2524,A Festival of Nine Lessons and Carols,2022-12-03,Emory University – Glenn Memorial Auditorium,"Heralding the beginning of the Christmas season, this candlelit choral concert at Emory has been…"
2525,Reindeer Road by World of Illumination,2022-12-03,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2526,Skate the Sky,2022-12-03,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2527,Mattie Lou O’Kelley: The Long Journey to Success,2022-12-03,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
2528,Drive Thru Food Drive by RTY Global,2022-12-03,Restoring the Years Global Ministries,Restoring the Years Global Ministries (RTY Global) would like to invite you to their first…
2529,Cirque Du Soleil – Kurios,2022-12-03,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2530,Cookies with Santa,2022-12-03,Zoo Atlanta,EVENT DATES: December 3 & 4 Be here when Santa makes his first stop –…
2531,Shine Light Show at Coolray Field,2022-12-03,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2532,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-03,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2533,Annual Ugly Sweater Crawl: Savannah,2022-12-03,Savannah Bars,"Join us for the Ugly Sweater Christmas Crawl! Get that Goodwill sweater, find those tacky…"
2534,Holiday in the Park,2022-12-03,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2535,“In Hope for a Better Future” Art Exhibition,2022-12-03,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2536,A Haunted Christmas Carol,2022-12-03,Containment Haunted House,Take a trip down the darker side of Christmas as we take you through the…
2537,Rudolph the Red-Nosed Reindeer,2022-12-03,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2538,"Garden Lights, Holiday Nights",2022-12-03,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2539,Skate the Station,2022-12-03,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2540,The Colors of Peace Exhibit,2022-12-03,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2541,3hr Salsa Class Atlanta Beginner and Beyond Basics,2022-12-03,Ballroom Impact Atlanta,Salsa ATL & Dancing4Fun Presents.. 3hr Salsa Boot Camp in Atlanta @ Ballroom Impact Atlanta…
2542,HOLIDAY ORNAMENT WORKSHOP,2022-12-03,Marietta/Cobb Museum of Art,"Join us for a fun afternoon of playing with clay! We’ll use cookie cutters, texture…"
2543,PAW Patrol: Adventure Play,2022-12-03,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2544,Holiday Lights at Brook Run Park,2022-12-03,Brook Run Park,
2545,Misfit DIY Wrapping Co.,2022-12-03,Ponce City Market,"Come one, come all and stop by Misfit DIY Wrapping Co. to jazz up gifts…"
2546,Stranger Things: The Experience,2022-12-03,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2547,Fireside Roasting & Toasting Pods on the Yard,2022-12-03,Ponce City Market,Get warm and cozy with your nearest and dearest outside on The Yard this holiday…
2548,Frankly Scarlet (Grateful Dead Tribute),2022-12-03,37 Main Buford,
2549,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-03,Chick-fil-A College Football Hall of Fame,
2550,Spruill Gallery Holiday Artists Market,2022-12-03,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2551,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-03,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2552,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-03,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2553,Landscape Painting Demo and Acrylic Paint Session,2022-12-03,Marietta/Cobb Museum of Art,"Join us Saturday evening, December 3, 6:00 – 9:00 pm as we enjoy a glass…"
2554,Celebration at the Station,2022-12-03,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2555,Tree Tour: Virginia Highland Neighborhood,2022-12-03,Virginia Highland Neighborhood Arboretum,Touring a Neighborhood Arboretum is a delightful way to learn more about the special trees…
2556,Holiday Bazaar at The Inn at Serenbe Pavilion,2022-12-03,The Inn at Serenbe,Serenbe is hosting its annual Holiday Bazaar at The Inn at Serenbe Pavilion on December…
2557,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-03,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2558,Patrick Watson Live In Concert,2022-12-04,Terminal West,"Canadian singer-songwriter Patrick Watson will perform live at Terminal West on Sun, Dec 4 at…"
2559,Sons of Serendip,2022-12-04,Spivey Hall,"MICAH CHRISTIAN, lead vocals CORDARO RODRIGUEZ, piano and guitar KENDALL RAMSEUR, cello and vocals MASON…"
2560,Deana Lawson Exhibit,2022-12-04,High Museum of Art,"Featuring work made over the past two decades, this exhibition is the first museum survey…"
2561,Atlanta Falcons vs. Pittsburgh Steelers – Dec. 4,2022-12-04,Mercedes-Benz Stadium,Come watch the Atlanta Falcons take on the Pittsburgh Steelers in an exciting NFL match-up…
2562,Atlanta R&B Music Experience,2022-12-04,State Farm Arena,It was announced today that ‘Atlanta R&B Music Experience: Holiday Edition’ will come to the…
2563,Igloos on The Roof,2022-12-04,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2564,25th Annual Gala Holiday Concert at the Rialto,2022-12-04,Rialto Center for the Arts at Georgia State University,Get in the Holiday Spirit! This highly anticipated concert has been an Atlanta tradition for…
2565,Rodgers & Hammerstein’s Cinderella,2022-12-04,The Legacy Theatre,The timeless enchantment of the magical fairy tale is reborn with the Rodgers & Hammerstein…
2566,The Rink at Park Tavern,2022-12-04,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2567,Skate the Station,2022-12-04,Atlantic Station,Get into the holiday spirit at Atlanta’s largest ice-skating rink at Atlantic Station! Skate the…
2568,Cookies with Santa,2022-12-04,Zoo Atlanta,EVENT DATES: December 3 & 4 Be here when Santa makes his first stop –…
2569,Gift Wrapping Christmas Festival,2022-12-04,Chateau Elan Winery & Resort,Support 1000 local kids and families in need by attending Gift Wrapping Festival and Contest:…
2570,Spruill Gallery Holiday Artists Market,2022-12-04,Spruill Gallery,"This well-loved Holiday Artist’s Market kicks off on Nov. 16 with high quality, handcrafted goods…"
2571,Tambor Holiday Party,2022-12-04,Paradise Atlanta,
2572,HOLIDAY ORNAMENT WORKSHOP,2022-12-04,Marietta/Cobb Museum of Art,"Join us for a fun afternoon of playing with clay! We’ll use cookie cutters, texture…"
2573,DaBaby – Live Show Killa Tour,2022-12-04,Coca-Cola Roxy,Hip hop favorite DaBaby is coming to Atlanta for his brand new Live Show Killa…
2574,Midtown Atlanta Food and Cocktail Tour,2022-12-04,Saint Mark United Methodist Church,Indulge in an eclectic array of cuisine & cocktails on this insider’s walking food &…
2575,Giant Panda Wild Encounter,2022-12-04,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2576,Elephant Wild Encounter,2022-12-04,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2577,Holiday in the Park,2022-12-04,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2578,Rudolph the Red-Nosed Reindeer,2022-12-04,Center For Puppetry Arts,A Holiday Classic Returns to the Stage Based on the classic television special Adapted by…
2579,The Rink Powered By Pepsi Zero at Park Tavern,2022-12-04,Park Tavern,The Rink Powered By Pepsi Zero Opens Thanksgiving Weekend & Will Be Open Through MLK…
2580,Reindeer Road by World of Illumination,2022-12-04,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2581,Mattie Lou O’Kelley: The Long Journey to Success,2022-12-04,Oglethorpe University Museum of Art,"Like most female artists of the early 20th century, O’Kelley endured far greater hardships than…"
2582,Cirque Du Soleil – Kurios,2022-12-04,Atlantic Station,"Critically acclaimed the world over, KURIOS—Cabinet of curiosities astonishingly revisits the signature Cirque du Soleil…"
2583,Stranger Things: The Experience,2022-12-04,Pullman Yards,Stranger Things: The Experience is an immersive in Atlanta based on the iconic Netflix show….
2584,“In Hope for a Better Future” Art Exhibition,2022-12-04,Hammonds House Museum,Hammonds House Museum closes out 2022 with a dynamic multi-medium exhibition by Atlanta-based artist Tracy…
2585,Illuminights at the Zoo: Chinese Lantern Festival,2022-12-04,Zoo Atlanta,Atlanta’s newest holiday tradition is back and better than ever. Zoo Atlanta partners with Hanart…
2586,Fireside Roasting & Toasting Pods on the Yard,2022-12-04,Ponce City Market,Get warm and cozy with your nearest and dearest outside on The Yard this holiday…
2587,Misfit DIY Wrapping Co.,2022-12-04,Ponce City Market,"Come one, come all and stop by Misfit DIY Wrapping Co. to jazz up gifts…"
2588,Atlanta Rhythm Section Live In Concert,2022-12-04,Buckhead Theatre,"Southern rock band Atlanta Rhythm Section will perform live at Buckhead Theatre on Sun, Dec…"
2589,Winter Wonderland at Fernbank,2022-12-04,Fernbank Museum of Natural History,"Travel the world and embrace rich holiday traditions during Fernbank’s annual holiday exhibit, Winter Wonderland:…"
2590,The Veranda Jewel Box,2022-12-04,Buckhead Village,Buckhead Village will welcome guests to step into a whimsical and immersive “jewel box” at…
2591,Waking Wonderland: An Immersive Experience,2022-12-04,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2592,A Christmas Carol,2022-12-04,Alliance Theatre,The Alliance Theatre’s beloved production A CHRISTMAS CAROL returns to The Coca-Cola Stage with its…
2593,World of Illumination,2022-12-04,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2594,FIFA World Cup 2022™ Watch Parties,2022-12-04,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2595,Holiday Tree Market in the Courtyard,2022-12-04,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2596,Mingle & Jingle Christmas Bar,2022-12-04,Best End Brewery,We’re welcoming back the very FIRST & ONLY pop-up Christmas Bar in the West End…
2597,Harry Potter: The Exhibition,2022-12-04,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2598,Gurl Mobb Museum- Selfie museum in Atlanta,2022-12-04,Gurl Mobb Museum,Atlanta’s ULTIMATE SELFIE MUSEUM FOR GIRL BOSSES! 20 Pluses Content Rooms
2599,Sunday Spiritual Festival,2022-12-04,Krishna Life Temple and Monastery,"Come and experience the association of practicing monks. Meditate, Dance, hear words of wisdom and…"
2600,Holiday Catering with Grecian Gyro,2022-12-04,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
2601,PAW Patrol: Adventure Play,2022-12-04,Children’s Museum of Atlanta,"Adventure Bay is coming to CMA! PAW Patrol: Adventure Play opens Saturday, September 24. Join…"
2602,"Garden Lights, Holiday Nights",2022-12-04,"Atlanta Botanical Garden, Inc.","The 12th annual Garden Lights, Holiday Nights shines Nov. 12, 2022 – Jan. 14, 2023…."
2603,Celebration at the Station,2022-12-04,Atlantic Green,Start a new holiday tradition with friends and family and gather around the dazzling tree…
2604,Igloos on the Roof,2022-12-04,9 Mile Station,"Cozy up this holiday season in private, six-person igloos on Ponce City Market’s Roof, located…"
2605,Stephen Burks Shelter in Place,2022-12-04,High Museum of Art,"In the wake of several global crises, designers have responded by redefining our relationship to…"
2606,WildWoods AGLOW,2022-12-04,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2607,Claude Monet Immersive Exhibit,2022-12-04,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2608,CFHOF Honors 2022 Inductees with New Exhibit,2022-12-04,Chick-fil-A College Football Hall of Fame,
2609,Holiday Lights at Brook Run Park,2022-12-04,Brook Run Park,
2610,Nan Griffith’s Murmurations/Migrations Mixed Media,2022-12-04,Alpharetta Arts Center,Nan Griffith shares a new and prolific period in her artistic journey. In an expression…
2611,The Colors of Peace Exhibit,2022-12-04,Jimmy Carter Presidential Library & Museum,"Bringing together 270+ artworks created by children from around the world, the exhibition is a…"
2612,Skate the Sky,2022-12-04,The Roof at Ponce City Market,"Back for a sixth year, The Roof at Ponce City Market invites guest to ‘Skate…"
2613,Blue October Live In Concert,2022-12-04,Atlanta Symphony Hall,Emporium Presents and Delta Atlanta Symphony Hall LIVE welcome Blue October to Atlanta Symphony Hall…
2614,Shine Light Show at Coolray Field,2022-12-04,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2615,Reindeer Road by World of Illumination,2022-12-05,Six Flags WHITE WATER,A merrily magical journey Grab your sled and join World of Illumination on a trek…
2616,The Rink at Park Tavern,2022-12-05,Park Tavern,"This holiday season, Park Tavern in Piedmont Park is bringing back the power of miracles,…"
2617,Castleberry Farmers Market,2022-12-05,Castleberry Farmers Market,"Local unique weekday farmers market that features an array of farmers, bakers, artisans and other…"
2618,Waking Wonderland: An Immersive Experience,2022-12-05,Illuminarium Atlanta,"Waking Wonderland is an interactive adventure that invites you on a dreamlike journey, inspired by…"
2619,Elephant Wild Encounter,2022-12-05,Zoo Atlanta,"No creature looms larger over the savanna than the African elephant, and you’ll agree when you…"
2620,Holiday Lights at Brook Run Park,2022-12-05,Brook Run Park,
2621,Aldabra Tortoise Wild Encounter,2022-12-05,Zoo Atlanta,Meet the ancient giants of Aldabra Atoll. See and feed one of the world’s largest living tortoise species in…
2622,Holiday in the Park,2022-12-05,Six Flags Over Georgia,Celebrate the holiday season with a symphony of music and dancing lights. See the Christmas…
2623,World of Illumination,2022-12-05,Six Flags WHITE WATER,"World of Illumination brings a holiday light show, Reindeer Road, to Six Flags White Water…."
2624,Claude Monet Immersive Exhibit,2022-12-05,"Exhibition Hub, Atlanta Art Center",Have you ever dreamt of stepping into a painting? Embark on an astonishing journey through…
2625,Igloos on The Roof,2022-12-05,Ponce City Market,"It’s the most wonderful time of the year! Reserve one of our cozy, private igloos,…"
2626,FIFA World Cup 2022™ Watch Parties,2022-12-05,Multiple Locations,"Throughout the 2022 FIFA World Cup™, Atlanta United will be taking over local pubs to…"
2627,Holiday Tree Market in the Courtyard,2022-12-05,Ponce City Market,"Deck the halls with a holiday tree, garland and wreaths from Ponce City Market! Tradition…"
2628,WildWoods AGLOW,2022-12-05,Fernbank Museum of Natural History,"This all-new, limited-run nighttime experience offers a different experience within WildWoods, a 10-acre natural habitat…"
2629,Shine Light Show at Coolray Field,2022-12-05,Coolray Field,"Making its debut at Coolray Field in Lawrenceville, GA this holiday season, Shine Light Show…"
2630,Harry Potter: The Exhibition,2022-12-05,Purchase tickets online,Harry Potter: The Exhibition will make its second stop on its North American tour in…
2631,Giant Panda Wild Encounter,2022-12-05,Zoo Atlanta,Meet and feed one of Zoo Atlanta’s world-famous black-and-white bears during an exclusive behind-the-scenes encounter…
2632,Yu-Gi-Oh! Mondays,2022-12-05,Caffeinated Gamers,Official (but friendly) Event! We have Yu-Gi-Oh! tournaments every Monday. This event is good for…
2633,Holiday Catering with Grecian Gyro,2022-12-05,Multiple Locations,Share the gift of Grecian Gyro with all this holiday season! The Koulouris family and…
